year,ic,name,companyId,address,share
2023,10954899,,,,
2023,03204723,,,,
2023,02674831,,,,
2023,17280583,,,,
2023,07921331,,,,
2023,19946368,,,,
2023,71443185,,,,
2023,68321457,,,,
2023,03174531,,,,
2023,27039145,,,,
2023,17331722,,,,
2023,09233229,,,,
2023,14290910,,,,
2023,21005826,,,,
2023,71443312,,,,
2023,02733552,,,,
2023,04889321,,,,
2023,71339965,,,,
2023,00442704,Nový Hlas s.r.o.,26505576.0,"Karlovo náměstí 317/5, 128 00,Praha 2",100.0
2023,17095107,,,,
2023,07196989,,,,
2023,27034321,,,,
2023,15271960,,,,
2023,71339973,,,,
2023,00496936,"FUTURA, a.s.",16192893.0,"Politických vězňů 9, 111 21 Praha 1",92.0
2023,03152952,,,,
2023,71339582,,,,
2023,01963384,,,,
2023,71443606,,,,
2023,49628089,,,,
2023,07157029,,,,
2023,68455941,,,,
2023,03254747,,,,
2023,60556625,,,,
2023,17187087,,,,
2023,17334799,,,,
2023,07027761,,,,
2023,07286210,,,,
2023,07312946,,,,
2023,69345473,,,,
2023,17333709,,,,
2023,09340718,,,,
2023,11677309,,,,
2023,60458399,,,,
2023,71339779,,,,
2023,27034500,,,,
2023,71443649,,,,
2023,03219208,,,,
2023,71443584,,,,
2023,03174697,,,,
2023,03016242,,,,
2023,26668980,,,,
2023,16192656,Adved s.r.o.,28925009.0,"Truhlářská 1106/9, 110 00 Praha 1",50.0
2023,14212129,,,,
2023,06860176,,,,
2023,03099598,,,,
2023,71443517,,,,
2023,03221083,,,,
2023,71443215,,,,
2023,09363149,,,,
2023,17239800,,,,
2023,71443681,,,,
2023,71339698,1. Pirátská s.r.o.,6194559.0,"Na Moráni 360/3, Nové Město (Praha 2), 128 00 Praha",100.0
2023,03170624,,,,
2023,08960909,,,,
2023,14356813,,,,
2023,71443550,,,,
2023,17085438,,,,
2023,02885573,,,,
2023,07283652,,,,
2023,01870360,,,,
2023,03204669,,,,
2023,10742409,,,,
2023,27038131,,,,
2023,03091805,,,,
2023,03254763,,,,
2023,19882653,,,,
2023,17254353,,,,
2023,71443380,,,,
2023,26595940,,,,
2023,27026922,,,,
2023,06695205,,,,
2023,09607684,,,,
2023,71443347,,,,
2023,17313155,,,,
2023,71339485,,,,
2023,10997113,,,,
2023,07218443,,,,
2023,71339990,,,,
2023,70869553,,,,
2023,05081068,,,,
2023,00409171,"Cíl, akciová společnost v Praze",26165376.0,"Hybernská 1033/7, 11000 Praha 1",100.0
2023,03116603,,,,
2023,71339655,,,,
2023,03217116,,,,
2023,07118317,,,,
2023,03221199,,,,
2023,71339922,,,,
2023,17335191,,,,
2023,08431345,,,,
2023,17084997,,,,
2023,26673908,BeSTAN s.r.o.,10824120.0,"Malostranské náměstí 266/5, 118 00 Praha",100.0
2023,71443444,,,,
2023,71340009,,,,
2023,71339612,,,,
2023,17212596,,,,
2023,03251501,,,,
2023,71443177,,,,
2023,26582406,,,,
2023,03143848,,,,
2023,71339728,,,,
2023,02749947,,,,
2023,08288909,,,,
2023,02790840,,,,
2023,68954263,,,,
2023,07195389,,,,
2023,71443355,,,,
2023,17290775,,,,
2023,71339892,,,,
2023,04616421,,,,
2023,64933911,,,,
2023,71339817,,,,
2023,68210396,,,,
2023,27040097,,,,
2023,07324758,,,,
2023,04997808,,,,
2023,03247686,,,,
2023,08773297,,,,
2023,71340084,,,,
2023,00409740,,,,
2023,68684011,,,,
2023,07156871,,,,
2023,17263581,,,,
2023,17213754,,,,
2023,71443401,,,,
2023,71339850,,,,
2023,03136922,,,,
