date_year,party_key,job_key,job_count
2021-01-01,7301600,46.0,1.0
2021-01-01,71339892,,
2021-01-01,4616421,,
2021-01-01,71339817,,
2021-01-01,27040097,,
2021-01-01,7324758,,
2021-01-01,4997808,,
2021-01-01,3247686,,
2021-01-01,8773297,,
2021-01-01,71340084,,
2021-01-01,409740,,
2021-01-01,68684011,,
2021-01-01,7156871,,
2021-01-01,71443363,,
2021-01-01,71339850,,
2021-01-01,7202059,,
2021-01-01,3136922,,
2022-01-01,17262984,,
2022-01-01,5402450,,
2022-01-01,14369664,,
2022-01-01,4627695,,
2022-01-01,71443339,71.0,14.0
2022-01-01,71443339,109.0,5.0
2022-01-01,71443339,27.0,5.0
2022-01-01,71443339,132.0,1.0
2022-01-01,71443339,91.0,1.0
2022-01-01,71443274,,
2022-01-01,7289731,,
2022-01-01,5989175,,
2022-01-01,14179792,,
2022-01-01,26587840,,
2022-01-01,5103487,,
2022-01-01,14334887,,
2022-01-01,5754577,,
2022-01-01,3094553,,
2022-01-01,442721,,
2022-01-01,71443207,,
2022-01-01,71443240,,
2022-01-01,7972733,,
2022-01-01,9977023,,
2022-01-01,71443142,,
2022-01-01,4997841,,
2022-01-01,5391628,,
2022-01-01,10954899,7.0,1.0
2022-01-01,10954899,163.0,3.0
2022-01-01,3204723,,
2022-01-01,2674831,,
2022-01-01,7921331,,
2022-01-01,71443185,,
2022-01-01,68321457,,
2022-01-01,3174531,,
2022-01-01,27039145,,
2022-01-01,9233229,,
2022-01-01,14290910,,
2022-01-01,71443312,,
2022-01-01,2733552,,
2022-01-01,4889321,,
2022-01-01,71339965,,
2022-01-01,442704,55.0,1.0
2022-01-01,442704,27.0,3.0
2022-01-01,442704,149.0,2.0
2022-01-01,442704,84.0,1.0
2022-01-01,442704,164.0,1.0
2022-01-01,442704,98.0,4.0
2022-01-01,442704,64.0,2.0
2022-01-01,442704,24.0,1.0
2022-01-01,442704,141.0,8.0
2022-01-01,442704,74.0,17.0
2022-01-01,442704,162.0,1.0
2022-01-01,7196989,,
2022-01-01,27034321,,
2022-01-01,15271960,,
2022-01-01,71339973,,
2022-01-01,496936,102.0,100.0
2022-01-01,496936,90.0,55.0
2022-01-01,496936,62.0,32.0
2022-01-01,3152952,,
2022-01-01,71339582,,
2022-01-01,49628089,,
2022-01-01,17177782,,
2022-01-01,7157029,,
2022-01-01,26598647,,
2022-01-01,3254747,,
2022-01-01,44266740,54.0,1.0
2022-01-01,60556625,,
2022-01-01,17187087,,
2022-01-01,17334799,,
2022-01-01,7027761,,
2022-01-01,7286210,,
2022-01-01,7312946,,
2022-01-01,71443452,,
2022-01-01,69345473,,
2022-01-01,17333709,,
2022-01-01,9340718,,
2022-01-01,11677309,,
2022-01-01,60458399,,
2022-01-01,71339779,,
2022-01-01,27034500,,
2022-01-01,71443649,,
2022-01-01,27053024,,
2022-01-01,3219208,,
2022-01-01,71443584,,
2022-01-01,3174697,,
2022-01-01,3016242,,
2022-01-01,26668980,,
2022-01-01,17133742,,
2022-01-01,16192656,22.0,17.0
2022-01-01,16192656,152.0,10.0
2022-01-01,16192656,14.0,5.0
2022-01-01,16192656,142.0,8.0
2022-01-01,16192656,159.0,5.0
2022-01-01,14212129,,
2022-01-01,6860176,,
2022-01-01,3099598,,
2022-01-01,71443517,,
2022-01-01,3221083,8.0,1.0
2022-01-01,71443215,13.0,1.0
2022-01-01,9363149,,
2022-01-01,17239800,,
2022-01-01,3080935,,
2022-01-01,71339698,86.0,7.0
2022-01-01,71339698,154.0,3.0
2022-01-01,71339698,70.0,2.0
2022-01-01,71339698,14.0,4.0
